カテゴリ,キーワード
神経疾患,発達障害
【分類？】,老齢
【脳血管疾患】,高次脳機能障害
【整形疾患】,前腕骨
【心疾患】,虚血性心
【血管疾患】,A型動脈解離
【肺疾患】,間質影肺炎
【腎疾患】,ネフローゼ症候群
【消化器疾患】,十二指腸潰瘍
【糖尿病および内分泌疾患】,慢性甲状腺炎
【膠原病】,封入体筋炎
【泌尿器】,尿閉
【褥瘡および皮膚疾患】,蕁麻疹
【癌】,多発性骨髄腫
神経疾患,パーキンソニズム
【分類？】,神経調節性失神
【脳血管疾患】,蘇生後脳症
【整形疾患】,右単関節炎の既往
【心疾患】,心房作動
【血管疾患】,Marfan
【肺疾患】,間質性肺炎
【腎疾患】,腎摘出
【消化器疾患】,胆管炎
【糖尿病および内分泌疾患】,甲状腺腫
【膠原病】,川崎病
【泌尿器】,前立腺炎
【褥瘡および皮膚疾患】,粉瘤
【癌】,TACE
神経疾患,脊髄小脳変性症
【分類？】,菌血症
【脳血管疾患】,脳挫傷
【整形疾患】,大腿頚部骨折
【心疾患】,心房粗動
【血管疾患】,下肢急性動脈閉塞
【肺疾患】,呼吸不全
【腎疾患】,腎破裂
【消化器疾患】,短腸症候群（小腸-結腸バイパス術)
【糖尿病および内分泌疾患】,痛風
【膠原病】,抗ミトコンドリア抗体陽性筋炎
【褥瘡および皮膚疾患】,薬疹
【癌】,前立腺癌
神経疾患,脳症後遺症
【分類？】,認知機能低下
【脳血管疾患】,脳血栓
【整形疾患】,大腿頸部骨折
【心疾患】,心房粗細動
【血管疾患】,人工血管置換術後
【肺疾患】,慢性気管支炎
【腎疾患】,腎膿瘍
【消化器疾患】,小腸出血
【糖尿病および内分泌疾患】,副腎皮質
【膠原病】,自己免疫性肺胞蛋白症
【褥瘡および皮膚疾患】,白癬
【癌】,膀胱癌
神経疾患,左視神経脊髄炎
【分類？】,身体機能低下
【脳血管疾患】,脳梗塞
【整形疾患】,恥骨骨折
【心疾患】,心房頻拍
【血管疾患】,上行大動脈
【肺疾患】,慢性肺線維気腫症
【腎疾患】,腎結核
【消化器疾患】,食道静脈瘤
【糖尿病および内分泌疾患】,アミロイドーシス
【膠原病】,関節リウマチ
【褥瘡および皮膚疾患】,皮膚潰瘍
【癌】,舌癌
神経疾患,小脳性失調
【分類？】,腎性貧血
【脳血管疾患】,脳幹部出血
【整形疾患】,関節骨折
